Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
276,95,22.56842,0.83101,4.62105,0.97556,0.01092,0.01092
277,95,21.88421,0.81179,4.60000,0.97545,0.02451,0.02451
278,95,22.04211,0.80974,4.73684,0.99778,0.01519,0.01519
279,95,21.86316,0.80629,4.58947,0.97321,0.02147,0.02147
280,95,21.90526,0.80721,4.64211,0.98000,0.02471,0.02471
281,95,21.75789,0.80272,4.64211,0.98218,0.04271,0.04271
282,95,21.51579,0.79225,4.67368,0.98667,0.03405,0.03405
283,95,21.54737,0.79930,4.64211,0.98438,0.02323,0.02323
284,95,21.83158,0.80201,4.67368,0.98448,0.01547,0.01547
285,95,22.16842,0.81755,4.60000,0.97545,0.03034,0.03034
286,95,22.09474,0.81420,4.65263,0.98222,0.02212,0.02212
287,95,21.94737,0.80971,4.61053,0.97550,0.02304,0.02304
288,95,22.13684,0.81512,4.58947,0.96889,0.02642,0.02642
289,95,21.77895,0.80789,4.63158,0.98214,0.02373,0.02373
290,95,21.90526,0.80472,4.66316,0.98226,0.02608,0.02608
291,95,21.77895,0.80318,4.58947,0.97321,0.01896,0.01896
292,95,21.55789,0.79441,4.63158,0.97778,0.03018,0.03018
293,95,21.35789,0.78796,4.67368,0.98886,0.02270,0.02270
294,95,21.64211,0.79690,4.69474,0.99111,0.01884,0.01884
295,95,21.32632,0.79110,4.68421,0.99330,0.01763,0.01763
296,95,21.68421,0.79660,4.67368,0.98448,0.02002,0.02002
297,95,21.26316,0.78416,4.64211,0.98437,0.02133,0.02133
298,95,21.20000,0.78123,4.66316,0.98444,0.02337,0.02337
299,95,21.05263,0.77670,4.64211,0.98218,0.02886,0.02886
300,95,21.70526,0.79922,4.66316,0.98444,0.01761,0.01761
301,95,21.26316,0.78875,4.63158,0.98214,0.02396,0.02396
302,95,22.03158,0.80936,4.66316,0.98226,0.02219,0.02219
303,95,21.47368,0.79193,4.63158,0.98214,0.02989,0.02989
304,95,21.38947,0.78821,4.65263,0.98222,0.02445,0.02445
305,95,21.82105,0.80505,4.61053,0.97550,0.02761,0.02761
306,95,21.65263,0.79729,4.61053,0.97333,0.03681,0.03681
307,95,21.14737,0.78446,4.68421,0.99330,0.03070,0.03070
308,95,21.29474,0.78229,4.63158,0.97561,0.03013,0.03013
309,95,21.10526,0.77834,4.57895,0.97098,0.03713,0.03713
310,95,21.63158,0.79713,4.66316,0.98444,0.02717,0.02717
311,95,21.32632,0.78680,4.68421,0.99109,0.03443,0.03443
312,95,21.52632,0.79264,4.71579,0.99556,0.02778,0.02778
313,95,21.20000,0.78641,4.62105,0.97991,0.02436,0.02436
314,95,21.38947,0.78577,4.67368,0.98448,0.02753,0.02753
315,95,21.30526,0.78571,4.67368,0.99107,0.02653,0.02653
316,95,21.63158,0.79713,4.64211,0.98000,0.02040,0.02040
317,95,21.61053,0.79728,4.58947,0.97105,0.02347,0.02347
318,95,21.45263,0.78992,4.63158,0.97778,0.03282,0.03282
319,95,21.33684,0.79149,4.60000,0.97545,0.02612,0.02612
320,95,21.23158,0.77997,4.68421,0.98670,0.02884,0.02884
321,95,21.43158,0.79037,4.55789,0.96652,0.02900,0.02900
322,95,20.98947,0.77347,4.69474,0.99111,0.03223,0.03223
323,95,20.94737,0.77282,4.68421,0.99109,0.02731,0.02731
324,95,20.84211,0.76744,4.69474,0.99111,0.03050,0.03050
325,95,20.96842,0.77782,4.68421,0.99330,0.02543,0.02543
326,95,20.98947,0.77108,4.65263,0.98004,0.03068,0.03068
327,95,20.90526,0.77096,4.65263,0.98661,0.02822,0.02822
328,95,20.71579,0.76338,4.71579,0.99556,0.02952,0.02952
329,95,20.93684,0.77243,4.61053,0.97550,0.02794,0.02794
330,95,21.29474,0.78411,4.68421,0.98889,0.02521,0.02521
331,95,21.25263,0.78836,4.55789,0.96652,0.02065,0.02065
332,95,21.57895,0.79273,4.51579,0.95122,0.02958,0.02958
333,95,21.61053,0.79697,4.51579,0.95759,0.02920,0.02920
334,95,21.46316,0.79092,4.61053,0.97333,0.02325,0.02325
335,95,21.37895,0.78874,4.54737,0.96214,0.02408,0.02408
336,95,21.30526,0.78450,4.65263,0.98222,0.02727,0.02727
337,95,21.26316,0.78875,4.60000,0.97545,0.02398,0.02398
338,95,21.62105,0.79428,4.60000,0.96896,0.02553,0.02553
339,95,21.15789,0.78028,4.54737,0.96429,0.02888,0.02888
340,95,21.32632,0.78588,4.63158,0.97778,0.02611,0.02611
341,95,20.72632,0.76466,4.61053,0.97550,0.03094,0.03094
342,95,21.01053,0.77364,4.73684,1.00000,0.02994,0.02994
343,95,20.53684,0.76181,4.75789,1.00893,0.03344,0.03344
344,95,20.57895,0.75599,4.73684,0.99778,0.03323,0.03323
345,95,20.64211,0.76126,4.70526,0.99777,0.03470,0.03470
346,95,20.60000,0.75912,4.81053,1.01556,0.03589,0.03589
347,95,20.97895,0.77398,4.55789,0.96437,0.03239,0.03239
348,95,21.18947,0.78023,4.62105,0.97556,0.02437,0.02437
349,95,21.18947,0.78602,4.50526,0.95536,0.02886,0.02886
